BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
97;Rhein-Sieg-Kreis I;5;234377;234377;234377;234377;172653;172653;172653;172653;13663;2251;3010;1906;158990;170402;169643;170747;84556;84556;74187;74187;50271;50271;46065;46065;7946;7946;9496;9496;10895;10895;14000;14000;;;;;4172;4172;10796;10796;;;7514;7514;;;3771;3771;;;1464;1464;;;534;534;;;0;0;;;238;238;;;713;713;;;;;1150;1150;809;809;;;;;;;18;18;;;;;;;38;38;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11412;;1104;
98;Rhein-Sieg-Kreis II;5;213791;213791;213791;213791;164635;164635;164635;164635;7588;2190;2665;1725;157047;162445;161970;162910;85058;85058;73860;73860;44098;44098;39571;39571;5445;5445;7433;7433;11732;11732;14122;14122;;;;;5058;5058;13468;13468;5058;5058;7362;7362;;;3163;3163;;;1091;1091;;;585;585;;;0;0;;;270;270;;;589;589;;;;;598;598;421;421;;;;;;;18;18;;;;;;;17;17;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5398;;940;
99;Oberbergischer Kreis;5;209414;209414;209414;209414;150899;150899;150899;150899;6597;1983;3088;1953;144302;148916;147811;148946;77800;77800;67437;67437;44773;44773;40185;40185;6373;6373;8055;8055;7675;7675;10347;10347;;;;;3226;3226;8446;8446;4455;4455;7487;7487;;;2849;2849;;;1329;1329;;;364;364;;;0;0;;;262;262;;;629;629;;;;;;;363;363;;;;;;;26;26;;;;;;;32;32;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4614;;1135;
100;Rheinisch-Bergischer Kreis;5;216414;216414;216414;216414;169131;169131;169131;169131;3214;1527;2615;1411;165917;167604;166516;167720;98017;98017;73278;73278;41894;41894;43721;43721;6884;6884;8473;8473;11472;11472;15113;15113;;;;;2937;2937;11676;11676;4713;4713;7945;7945;;;3311;3311;;;1149;1149;0;0;463;463;;;0;0;;;265;265;;;774;774;;;;;;;294;294;;;;;;;30;30;;;;;;;24;24;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1687;;1204;
101;Leverkusen – Köln IV;5;214098;214098;214098;214098;150030;150030;150030;150030;6140;2086;2995;1590;143890;147944;147035;148440;58201;58201;52884;52884;61172;61172;48511;48511;8554;8554;10615;10615;10589;10589;14283;14283;;;;;3447;3447;7212;7212;0;0;5807;5807;;;3816;3816;;;1578;1578;;;632;632;;;0;0;;;202;202;1529;1529;993;993;;;;;;;315;315;;;;;398;398;164;164;;;;;;;23;23;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4054;;1405;
102;Wuppertal I;5;213132;213132;213132;213132;145925;145925;145925;145925;5323;2520;3549;1987;140602;143405;142376;143938;52427;52427;47470;47470;58407;58407;46638;46638;10992;10992;12499;12499;10198;10198;14318;14318;;;;;4314;4314;8198;8198;0;0;5989;5989;4264;4264;3561;3561;;;1620;1620;;;440;440;;;0;0;;;202;202;0;0;962;962;;;;;;;311;311;;;;;0;0;131;131;;;;;;;37;37;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2803;;1562;
103;Solingen – Remscheid – Wuppertal II;5;226117;226117;226117;226117;160929;160929;160929;160929;6789;2357;3485;1908;154140;158572;157444;159021;70269;70269;62029;62029;52931;52931;48123;48123;9222;9222;10740;10740;11334;11334;12676;12676;;;;;4170;4170;9650;9650;5784;5784;6853;6853;;;3901;3901;;;1590;1590;;;347;347;;;0;0;;;216;216;0;0;786;786;;;;;;;320;320;;;;;430;430;177;177;;;;;;;36;36;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4432;;1577;
104;Mettmann I;5;205564;205564;205564;205564;154473;154473;154473;154473;4934;1800;2837;1590;149539;152673;151636;152883;75628;75628;65696;65696;52832;52832;43173;43173;5697;5697;7808;7808;7735;7735;11699;11699;;;;;2964;2964;9660;9660;4683;4683;7764;7764;;;3243;3243;;;1273;1273;;;305;305;;;0;0;;;229;229;;;457;457;;;;;;;273;273;;;;;;;26;26;;;;;;;30;30;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3134;;1247;
105;Mettmann II;5;165493;165493;165493;165493;123036;123036;123036;123036;1657;1657;2290;1382;121379;121379;120746;121654;55307;55307;50254;50254;45091;45091;37580;37580;5166;5166;6646;6646;5987;5987;8408;8408;;;;;2920;2920;7421;7421;3911;3911;5730;5730;2997;2997;2655;2655;;;1097;1097;;;197;197;;;0;0;;;147;147;;;347;347;;;;;;;212;212;;;;;;;31;31;;;;;;;21;21;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;908;
106;Düsseldorf I;5;218889;218889;218889;218889;165028;165028;165028;165028;5988;1635;2452;1353;159040;163393;162576;163675;78206;78206;65978;65978;47731;47731;43269;43269;8657;8657;10505;10505;13427;13427;15445;15445;;;;;5825;5825;14985;14985;5021;5021;6891;6891;;;3458;3458;;;770;770;;;241;241;;;0;0;;;182;182;;;541;541;;;;;;;202;202;;;;;173;173;81;81;;;;;;;28;28;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4353;;1099;
107;Düsseldorf II;5;196250;196250;196250;196250;139390;139390;139390;139390;8502;1983;2777;1348;130888;137407;136613;138042;55990;55990;51050;51050;48065;48065;41737;41737;12538;12538;10705;10705;10315;10315;13399;13399;;;;;3980;3980;7979;7979;0;0;5845;5845;;;3509;3509;;;1048;1048;;;256;256;;;0;0;;;188;188;;;556;556;;;;;;;245;245;;;;;0;0;61;61;;;;;;;35;35;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6519;;1429;
108;Neuss I;5;214614;214614;214614;214614;154444;154444;154444;154444;7434;1878;2856;1635;147010;152566;151588;152809;78712;78712;69480;69480;46619;46619;42604;42604;5983;5983;7606;7606;7226;7226;9363;9363;;;;;3507;3507;9418;9418;4155;4155;6276;6276;;;3666;3666;;;1503;1503;808;808;646;646;;;0;0;;;187;187;;;464;464;;;;;;;297;297;;;;;;;39;39;;;;;;;39;39;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5556;;1221;
109;Mönchengladbach;5;192676;192676;192676;192676;127559;127559;127559;127559;3616;1953;2583;1617;123943;125606;124976;125942;63843;63843;55030;55030;36665;36665;35447;35447;7827;7827;8080;8080;7638;7638;7792;7792;;;;;2847;2847;7414;7414;4259;4259;5255;5255;;;3149;3149;;;1339;1339;;;316;316;;;0;0;;;158;158;864;864;744;744;;;;;;;199;199;;;;;;;30;30;;;;;;;23;23;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1663;;966;
110;Krefeld I – Neuss II;5;202204;202204;202204;202204;150999;150999;150999;150999;7174;1858;2544;1579;143825;149141;148455;149420;73201;73201;66802;66802;46148;46148;40968;40968;6165;6165;7768;7768;8693;8693;10303;10303;;;;;5447;5447;10901;10901;3633;3633;5753;5753;;;3173;3173;;;1192;1192;;;457;457;;;0;0;;;165;165;538;538;596;596;;;;;;;301;301;;;;;0;0;42;42;;;;;;;34;34;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5316;;965;
111;Viersen;5;227631;227631;227631;227631;167490;167490;167490;167490;7611;1886;2674;1693;159879;165604;164816;165797;87764;87764;76747;76747;47198;47198;44103;44103;7998;7998;8897;8897;8880;8880;11106;11106;;;;;3857;3857;10493;10493;4182;4182;6806;6806;;;3464;3464;;;1557;1557;;;457;457;;;0;0;;;204;204;;;552;552;;;;;;;355;355;;;;;;;32;32;;;;;;;43;43;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5725;;981;
112;Kleve;5;225823;225823;225823;225823;161873;161873;161873;161873;8340;2383;2567;1713;153533;159490;159306;160160;81216;81216;77833;77833;52778;52778;43253;43253;0;0;7322;7322;9220;9220;9856;9856;;;;;5003;5003;9094;9094;5316;5316;6300;6300;;;3212;3212;;;1293;1293;0;0;234;234;;;0;0;;;198;198;;;377;377;;;;;;;280;280;;;;;;;31;31;;;;;;;23;23;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5957;;854;
113;Wesel I;5;207485;207485;207485;207485;153981;153981;153981;153981;5793;1736;2773;1512;148188;152245;151208;152469;66172;66172;59970;59970;59709;59709;53249;53249;7527;7527;9091;9091;7489;7489;9780;9780;;;;;2781;2781;7224;7224;4510;4510;5678;5678;;;3154;3154;;;1646;1646;;;295;295;;;0;0;;;158;158;;;643;643;;;;;;;256;256;;;;;0;0;36;36;;;;;;;28;28;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4057;;1261;
114;Krefeld II – Wesel II;5;182593;182593;182593;182593;131185;131185;131185;131185;4717;1948;2547;1489;126468;129237;128638;129696;51835;51835;47806;47806;53578;53578;44856;44856;6994;6994;8546;8546;6888;6888;9485;9485;;;;;3245;3245;7237;7237;0;0;5085;5085;3040;3040;2739;2739;;;1463;1463;;;402;402;;;0;0;;;126;126;620;620;534;534;;;;;;;222;222;;;;;268;268;110;110;;;;;;;27;27;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2769;;1058;
115;Duisburg I;5;171223;171223;171223;171223;121815;121815;121815;121815;6769;2161;3454;1500;115046;119654;118361;120315;38477;38477;36109;36109;55779;55779;47165;47165;8802;8802;9475;9475;6107;6107;8341;8341;;;;;1955;1955;4044;4044;0;0;6211;6211;3926;3926;2897;2897;;;2748;2748;;;207;207;;;0;0;;;156;156;;;517;517;;;;;;;267;267;;;;;0;0;181;181;;;;;;;43;43;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4608;;1954;
116;Duisburg II;5;166103;166103;166103;166103;105682;105682;105682;105682;9648;2063;3447;1550;96034;103619;102235;104132;30654;30654;27665;27665;44759;44759;44727;44727;8920;8920;9160;9160;5371;5371;5376;5376;;;;;1680;1680;2891;2891;4299;4299;5349;5349;;;2449;2449;;;3507;3507;;;143;143;;;0;0;;;75;75;;;365;365;;;;;;;248;248;;;;;351;351;228;228;;;;;;;52;52;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7585;;1897;
117;Oberhausen – Wesel III;5;208991;208991;208991;208991;147679;147679;147679;147679;10910;2469;3426;1912;136769;145210;144253;145767;46889;46889;43882;43882;65442;65442;60222;60222;10627;10627;11732;11732;11396;11396;9604;9604;;;;;2415;2415;4802;4802;0;0;6145;6145;;;3579;3579;;;2938;2938;;;225;225;;;0;0;;;167;167;;;525;525;;;;;;;293;293;;;;;0;0;92;92;;;;;;;47;47;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;8441;;1514;
118;Mülheim – Essen I;5;191475;191475;191475;191475;140961;140961;140961;140961;7228;1796;2788;1483;133733;139165;138173;139478;49487;49487;47247;47247;58741;58741;53275;53275;7664;7664;8968;8968;8824;8824;9837;9837;;;;;3412;3412;6388;6388;5383;5383;6404;6404;;;2858;2858;;;2029;2029;;;167;167;;;0;0;;;142;142;;;491;491;;;;;;;217;217;;;;;222;222;108;108;;;;;;;42;42;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;5432;;1305;
119;Essen II;5;167962;167962;167962;167962;108599;108599;108599;108599;8584;1614;2710;1319;100015;106985;105889;107280;33243;33243;30540;30540;51677;51677;44684;44684;7752;7752;8716;8716;5382;5382;7616;7616;;;;;1721;1721;3627;3627;0;0;4556;4556;;;2733;2733;;;2014;2014;;;212;212;;;0;0;;;88;88;;;723;723;;;;;;;191;191;;;;;240;240;168;168;;;;;;;21;21;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6970;;1391;
120;Essen III;5;195692;195692;195692;195692;151040;151040;151040;151040;6992;1551;2424;1268;144048;149489;148616;149772;59101;59101;54310;54310;59008;59008;49626;49626;7341;7341;9855;9855;11576;11576;14550;14550;;;;;3007;3007;8581;8581;4015;4015;5812;5812;;;3087;3087;;;1294;1294;;;236;236;;;0;0;;;186;186;;;757;757;;;;;;;190;190;;;;;0;0;100;100;;;;;;;32;32;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5441;;1156;
121;Recklinghausen I;5;172167;172167;172167;172167;122346;122346;122346;122346;6524;1801;2576;1419;115822;120545;119770;120927;41383;41383;40898;40898;54504;54504;48070;48070;7410;7410;8244;8244;6178;6178;7716;7716;;;;;2426;2426;4100;4100;3921;3921;5464;5464;;;2661;2661;;;1530;1530;;;185;185;;;0;0;;;152;152;;;410;410;;;;;;;217;217;;;;;0;0;86;86;;;;;;;37;37;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4723;;1157;
122;Recklinghausen II;5;191504;191504;191504;191504;137426;137426;137426;137426;9608;2221;3034;1702;127818;135205;134392;135724;49404;49404;47082;47082;61748;61748;54378;54378;7529;7529;8501;8501;6733;6733;7860;7860;;;;;2122;2122;4813;4813;;;5494;5494;;;3140;3140;;;1730;1730;;;266;266;;;0;0;;;131;131;;;468;468;;;;;;;328;328;;;;;282;282;140;140;;;;;;;61;61;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7387;;1332;
123;Gelsenkirchen;5;181476;181476;181476;181476;118452;118452;118452;118452;7111;1608;3502;1504;111341;116844;114950;116948;33460;33460;32380;32380;58967;58967;51514;51514;7112;7112;8880;8880;4270;4270;6413;6413;;;;;1933;1933;3468;3468;4405;4405;5553;5553;;;2569;2569;;;2562;2562;701;701;448;448;;;0;0;;;82;82;;;456;456;;;;;;;205;205;;;;;493;493;398;398;;;;;;;22;22;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5503;;1998;
124;Steinfurt I – Borken I;5;201091;201091;201091;201091;147449;147449;147449;147449;4848;1602;1870;1243;142601;145847;145579;146206;75853;75853;72802;72802;46459;46459;41073;41073;5484;5484;6420;6420;7458;7458;8936;8936;;;;;4075;4075;7434;7434;3272;3272;4126;4126;;;2778;2778;;;943;943;;;282;282;;;0;0;;;155;155;;;434;434;;;;;;;152;152;;;;;;;20;20;;;;;;;24;24;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3246;;627;
125;Bottrop – Recklinghausen III;5;206061;206061;206061;206061;148181;148181;148181;148181;6609;2010;3231;1693;141572;146171;144950;146488;53354;53354;51021;51021;66913;66913;58800;58800;7827;7827;9153;9153;5277;5277;7998;7998;;;;;2372;2372;5095;5095;5530;5530;6034;6034;;;3029;3029;;;2208;2208;;;177;177;;;0;0;;;465;465;;;495;495;;;;;;;280;280;;;;;299;299;142;142;;;;;;;53;53;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4599;;1538;
126;Borken II;5;198648;198648;198648;198648;151387;151387;151387;151387;7266;1401;1698;1118;144121;149986;149689;150269;86028;86028;80352;80352;40643;40643;38391;38391;4513;4513;5447;5447;9548;9548;9138;9138;;;;;3389;3389;7915;7915;;;4042;4042;;;2468;2468;;;948;948;0;0;248;248;;;0;0;;;167;167;;;352;352;;;;;;;182;182;;;;;;;17;17;;;;;;;22;22;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5865;;580;
127;Coesfeld – Steinfurt II;5;190611;190611;190611;190611;149678;149678;149678;149678;7678;1297;1852;1193;142000;148381;147826;148485;83175;83175;74391;74391;39724;39724;38075;38075;4929;4929;6167;6167;10346;10346;12083;12083;;;;;3826;3826;8328;8328;;;4216;4216;;;2605;2605;;;812;812;;;267;267;;;0;0;;;188;188;;;472;472;;;;;;;171;171;;;;;;;22;22;;;;;;;29;29;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6381;;659;
128;Steinfurt III;5;193909;193909;193909;193909;146050;146050;146050;146050;4713;1336;1885;1296;141337;144714;144165;144754;69385;69385;62729;62729;52786;52786;48324;48324;5533;5533;6765;6765;8464;8464;10981;10981;;;;;2603;2603;6822;6822;2566;2566;4028;4028;;;2504;2504;;;940;940;0;0;279;279;;;0;0;;;123;123;;;465;465;;;;;;;156;156;;;;;0;0;25;25;;;;;;;24;24;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3377;;589;
129;Münster;5;227762;227762;227762;227762;180093;180093;180093;180093;1851;1527;1970;1291;178242;178566;178123;178802;69352;69352;67626;67626;63296;63296;48579;48579;7620;7620;11254;11254;19767;19767;27118;27118;;;;;10222;10222;12119;12119;3651;3651;5236;5236;3582;3582;4037;4037;;;490;490;;;195;195;;;0;0;752;752;595;595;0;0;673;673;;;;;;;123;123;;;;;0;0;51;51;;;;;;;27;27;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;324;;679;
130;Warendorf;5;210355;210355;210355;210355;158085;158085;158085;158085;5981;1684;2119;1552;152104;156401;155966;156533;80272;80272;73764;73764;50056;50056;45609;45609;5488;5488;6858;6858;9300;9300;11305;11305;;;;;3533;3533;8486;8486;3455;3455;4571;4571;;;3123;3123;;;1090;1090;;;378;378;;;0;0;;;178;178;0;0;329;329;;;;;;;223;223;;;;;;;23;23;;;;;;;29;29;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4297;;567;
131;Gütersloh I;5;233596;233596;233596;233596;168983;168983;168983;168983;5557;2080;2803;1840;163426;166903;166180;167143;83869;83869;77361;77361;56031;56031;47962;47962;7133;7133;8332;8332;9069;9069;13148;13148;;;;;3146;3146;8236;8236;4178;4178;5286;5286;;;3070;3070;;;1260;1260;0;0;454;454;;;0;0;;;354;354;;;437;437;;;;;;;222;222;;;;;;;20;20;;;;;;;38;38;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3477;;963;
132;Bielefeld – Gütersloh II;5;247179;247179;247179;247179;179625;179625;179625;179625;7040;2476;3153;2077;172585;177149;176472;177548;66021;66021;62698;62698;67464;67464;57931;57931;12153;12153;14869;14869;19026;19026;20711;20711;;;;;3523;3523;7055;7055;4398;4398;6076;6076;;;4189;4189;;;1233;1233;;;226;226;;;0;0;;;280;280;0;0;741;741;;;;;;;315;315;;;;;0;0;97;97;;;;;;;51;51;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4564;;1076;
133;Herford – Minden-Lübbecke II;5;230975;230975;230975;230975;163815;163815;163815;163815;7620;2482;2876;1855;156195;161333;160939;161960;65873;65873;63755;63755;66637;66637;56554;56554;8706;8706;9409;9409;8209;8209;12297;12297;;;;;5651;5651;6798;6798;0;0;5832;5832;;;3350;3350;;;1267;1267;1119;1119;661;661;;;0;0;;;186;186;;;476;476;;;;;;;286;286;;;;;;;36;36;;;;;;;32;32;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5138;;1021;
134;Minden-Lübbecke I;5;206505;206505;206505;206505;145637;145637;145637;145637;6462;2113;2468;1611;139175;143524;143169;144026;66385;66385;59134;59134;58186;58186;49536;49536;5943;5943;7114;7114;5923;5923;10527;10527;;;;;2738;2738;6640;6640;0;0;5170;5170;;;2893;2893;;;936;936;;;358;358;;;0;0;;;151;151;;;395;395;;;;;;;254;254;;;;;;;30;30;;;;;;;31;31;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4349;;857;
135;Lippe I;5;172330;172330;172330;172330;125708;125708;125708;125708;5840;1797;2282;1514;119868;123911;123426;124194;49783;49783;48776;48776;50934;50934;43583;43583;5186;5186;6369;6369;7070;7070;9123;9123;;;;;2873;2873;5698;5698;3154;3154;4758;4758;;;2498;2498;;;1020;1020;868;868;788;788;;;0;0;;;133;133;;;379;379;;;;;;;238;238;;;;;;;27;27;;;;;;;36;36;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4043;;768;
136;Höxter – Lippe II;5;213488;213488;213488;213488;155994;155994;155994;155994;7129;2260;2681;1996;148865;153734;153313;153998;76882;76882;70520;70520;48159;48159;45707;45707;6328;6328;7894;7894;8757;8757;10266;10266;;;;;2956;2956;7423;7423;4004;4004;5545;5545;;;2853;2853;;;1188;1188;1086;1086;807;807;;;0;0;693;693;400;400;;;438;438;;;;;;;221;221;;;;;;;22;22;;;;;;;29;29;;;;;;;0;0;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4869;;685;
